k	min_size	max_size	stat	(p-value<0.05)%
2	10	10	JSD	27.184466019417474
3	10	10	JSD	43.689320388349515
4	10	10	JSD	58.25242718446602
5	10	10	JSD	76.69902912621359
6	10	10	JSD	83.49514563106796
7	10	10	JSD	91.2621359223301
8	10	10	JSD	92.23300970873787
9	10	10	JSD	92.23300970873787
10	10	10	JSD	91.2621359223301
2	10	10	JSD	27.184466019417474
3	10	10	JSD	35.922330097087375
4	10	10	JSD	58.25242718446602
5	10	10	JSD	76.69902912621359
6	10	10	JSD	87.37864077669903
7	10	10	JSD	92.23300970873787
8	10	10	JSD	93.20388349514563
9	10	10	JSD	92.23300970873787
10	10	10	JSD	93.20388349514563
2	10	10	JSD	25.24271844660194
3	10	10	JSD	37.86407766990291
4	10	10	JSD	61.16504854368932
5	10	10	JSD	74.75728155339806
6	10	10	JSD	85.4368932038835
7	10	10	JSD	92.23300970873787
8	10	10	JSD	93.20388349514563
9	10	10	JSD	92.23300970873787
10	10	10	JSD	88.3495145631068
